"symbol","date","open","high","low","close","volume","adjusted"
"NFLX",2017-01-03,124.959999,128.190002,124.309998,127.489998,9437900,127.489998
"NFLX",2017-01-04,127.489998,130.169998,126.550003,129.410004,7843600,129.410004
"NFLX",2017-01-05,129.220001,132.75,128.899994,131.809998,10185500,131.809998
"NFLX",2017-01-06,132.080002,133.880005,129.809998,131.070007,10657900,131.070007
"NFLX",2017-01-09,131.479996,131.990005,129.889999,130.949997,5771800,130.949997
"NFLX",2017-01-10,131.270004,132.220001,129.289993,129.889999,5985800,129.889999
"NFLX",2017-01-11,130.910004,131.5,129.25,130.5,5615100,130.5
"NFLX",2017-01-12,130.630005,130.850006,128.5,129.179993,5388900,129.179993
"NFLX",2017-01-13,131.149994,133.929993,130.580002,133.699997,10515000,133.699997
"NFLX",2017-01-17,135.039993,135.399994,132.089996,132.889999,12220200,132.889999
"NFLX",2017-01-18,133.210007,133.649994,131.059998,133.259995,16168600,133.259995
"NFLX",2017-01-19,142.009995,143.460007,138.25,138.410004,23203400,138.410004
"NFLX",2017-01-20,139.360001,140.789993,137.660004,138.600006,9497400,138.600006
"NFLX",2017-01-23,138.649994,139.490005,137.309998,137.389999,7433900,137.389999
"NFLX",2017-01-24,138.110001,140.929993,137.029999,140.110001,7754700,140.110001
"NFLX",2017-01-25,140.800003,141.389999,139.050003,139.520004,7238100,139.520004
"NFLX",2017-01-26,140.449997,141.210007,138.509995,138.960007,6038300,138.960007
"NFLX",2017-01-27,139.460007,142.490005,139,142.449997,8323900,142.449997
"NFLX",2017-01-30,141.770004,141.970001,138.800003,141.220001,8122500,141.220001
"NFLX",2017-01-31,140.550003,141.830002,139.699997,140.710007,4411600,140.710007
"NFLX",2017-02-01,141.199997,142.410004,139.300003,140.779999,6033400,140.779999
"NFLX",2017-02-02,140.610001,141.039993,139.050003,139.199997,3462400,139.199997
"NFLX",2017-02-03,139.509995,140.639999,139.100006,140.25,3512600,140.25
"NFLX",2017-02-06,140,141,139.160004,140.970001,3552100,140.970001
"NFLX",2017-02-07,141.490005,144.279999,141.050003,144,8573500,144
"NFLX",2017-02-08,143.570007,145.070007,142.559998,144.740005,6887100,144.740005
"NFLX",2017-02-09,144.979996,145.089996,143.580002,144.139999,4555100,144.139999
"NFLX",2017-02-10,144.679993,145.300003,143.970001,144.820007,6171900,144.820007
"NFLX",2017-02-13,145.190002,145.949997,143.050003,143.199997,4790400,143.199997
"NFLX",2017-02-14,143.199997,144.110001,140.050003,140.820007,8367800,140.820007
"NFLX",2017-02-15,140.720001,142.429993,140.509995,142.270004,5309100,142.270004
"NFLX",2017-02-16,142.419998,142.440002,141.070007,142.009995,2847500,142.009995
"NFLX",2017-02-17,141.75,142.899994,141.270004,142.220001,4588100,142.220001
"NFLX",2017-02-21,142.990005,143.380005,141.809998,142.600006,3571500,142.600006
"NFLX",2017-02-22,142.919998,144,142.169998,143.860001,3482000,143.860001
"NFLX",2017-02-23,144.449997,144.490005,141.520004,142.779999,4668000,142.779999
"NFLX",2017-02-24,141.880005,143.559998,141.550003,143.25,3302700,143.25
"NFLX",2017-02-27,143.119995,143.919998,142.380005,143.410004,3907400,143.410004
"NFLX",2017-02-28,143.300003,143.570007,141.850006,142.130005,3862200,142.130005
"NFLX",2017-03-01,142.839996,143.259995,142.100006,142.649994,4170600,142.649994
"NFLX",2017-03-02,142.149994,142.699997,139.089996,139.529999,6119900,139.529999
"NFLX",2017-03-03,139.690002,140.910004,138.259995,139.139999,5399800,139.139999
"NFLX",2017-03-06,141,142.839996,140.539993,141.940002,7116100,141.940002
"NFLX",2017-03-07,141.990005,142.399994,140.380005,141.429993,4241000,141.429993
"NFLX",2017-03-08,141.470001,142.059998,139.770004,140.320007,4085500,140.320007
"NFLX",2017-03-09,140.039993,141.240005,139.740005,140.529999,2652700,140.529999
"NFLX",2017-03-10,141.389999,141.800003,140.279999,140.889999,3318500,140.889999
"NFLX",2017-03-13,140.899994,143.710007,140.320007,143.520004,4922400,143.520004
"NFLX",2017-03-14,142.949997,143.309998,141.699997,143.190002,4660300,143.190002
"NFLX",2017-03-15,144.199997,145.520004,143.229996,145.25,5987200,145.25
"NFLX",2017-03-16,145.5,146.5,144.220001,144.389999,5286500,144.389999
"NFLX",2017-03-17,144.050003,145.759995,143.399994,145.110001,6281300,145.110001
"NFLX",2017-03-20,145.449997,146.25,144.580002,145.830002,3421000,145.830002
"NFLX",2017-03-21,146.75,147.699997,142.100006,142.419998,7669800,142.419998
"NFLX",2017-03-22,142.539993,143.800003,140.759995,142.649994,6486900,142.649994
"NFLX",2017-03-23,142.139999,142.889999,141.259995,141.839996,3712600,141.839996
"NFLX",2017-03-24,142.360001,142.800003,141.580002,142.020004,3546600,142.020004
"NFLX",2017-03-27,140.830002,144.389999,140,144.059998,4771700,144.059998
"NFLX",2017-03-28,144.100006,146.110001,143.919998,145.169998,4638000,145.169998
"NFLX",2017-03-29,145.5,147.179993,144.910004,146.470001,3855000,146.470001
"NFLX",2017-03-30,146.809998,148.289993,146.529999,148.059998,4461100,148.059998
"NFLX",2017-03-31,148,148.229996,147.330002,147.809998,3888200,147.809998
"NFLX",2017-04-03,146.699997,148.009995,145.740005,146.919998,4609300,146.919998
"NFLX",2017-04-04,146.839996,147.089996,144.889999,145.5,4368900,145.5
"NFLX",2017-04-05,146.190002,146.25,143.259995,143.619995,4607600,143.619995
"NFLX",2017-04-06,144,144.139999,143.009995,143.740005,3312400,143.740005
"NFLX",2017-04-07,143.789993,143.889999,142.710007,143.110001,3040500,143.110001
"NFLX",2017-04-10,143.039993,144.649994,141.210007,143.850006,5807400,143.850006
"NFLX",2017-04-11,144.279999,144.539993,141.979996,144.350006,4621500,144.350006
"NFLX",2017-04-12,144.850006,145.740005,143.550003,143.830002,4387000,143.830002
"NFLX",2017-04-13,144.25,144.550003,142.759995,142.919998,3685800,142.919998
"NFLX",2017-04-17,144.429993,147.320007,144.429993,147.25,16364700,147.25
"NFLX",2017-04-18,147.339996,147.399994,140,143.360001,19671000,143.360001
"NFLX",2017-04-19,143.369995,144,138.660004,139.759995,12395100,139.759995
"NFLX",2017-04-20,140.300003,141.800003,139.270004,141.179993,7248200,141.179993
"NFLX",2017-04-21,141.389999,143.029999,140.899994,142.869995,6824800,142.869995
"NFLX",2017-04-24,143.610001,144.5,143.399994,143.830002,4800900,143.830002
"NFLX",2017-04-25,147.460007,153.520004,146.220001,152.160004,20674200,152.160004
"NFLX",2017-04-26,151.529999,152.149994,148.899994,150.169998,9274100,150.169998
"NFLX",2017-04-27,150.600006,153.490005,149.300003,153.080002,7719400,153.080002
"NFLX",2017-04-28,152.710007,152.970001,150.940002,152.199997,6366200,152.199997
"NFLX",2017-05-01,151.910004,157.699997,151.610001,155.350006,9031600,155.350006
"NFLX",2017-05-02,155.759995,156.5,154.610001,156.449997,5384800,156.449997
"NFLX",2017-05-03,156.289993,156.539993,154.880005,155.589996,3931200,155.589996
"NFLX",2017-05-04,155.589996,157.899994,154.550003,157.25,5582300,157.25
"NFLX",2017-05-05,158.550003,158.589996,155.899994,156.600006,5341700,156.600006
"NFLX",2017-05-08,156.550003,157.639999,155.300003,156.380005,4818800,156.380005
"NFLX",2017-05-09,156.100006,157.850006,155.970001,157.460007,3911000,157.460007
