"County","State","Population"
"Bon Homme County","South Dakota",6848
"Brookings County","South Dakota",35603
"Brown County","South Dakota",38738
"Brule County","South Dakota",5254
"Buffalo County","South Dakota",1956
"Butte County","South Dakota",10538
"Campbell County","South Dakota",1380
"Charles Mix County","South Dakota",9262
"Clark County","South Dakota",3802
"Clay County","South Dakota",14246
"Codington County","South Dakota",28186
"Corson County","South Dakota",4031
"Custer County","South Dakota",9017
"Davison County","South Dakota",19812
"Day County","South Dakota",5345
"Deuel County","South Dakota",4346
"Dewey County","South Dakota",5789
"Douglas County","South Dakota",2906
"Edmunds County","South Dakota",3817
"Fall River County","South Dakota",6708
"Faulk County","South Dakota",2306
"Grant County","South Dakota",7000
"Gregory County","South Dakota",4219
"Haakon County","South Dakota",1861
"Hamlin County","South Dakota",6234
"Hand County","South Dakota",3127
"Hanson County","South Dakota",3489
"Harding County","South Dakota",1311
"Hughes County","South Dakota",17336
"Hutchinson County","South Dakota",7282
"Hyde County","South Dakota",1281
"Jackson County","South Dakota",3321
"Jerauld County","South Dakota",1985
"Jones County","South Dakota",938
"Kingsbury County","South Dakota",4987
"Lake County","South Dakota",12488
"Lawrence County","South Dakota",26221
"Lincoln County","South Dakota",63019
"Lyman County","South Dakota",3797
"McCook County","South Dakota",5520
"McPherson County","South Dakota",2363
"Marshall County","South Dakota",4884
"Meade County","South Dakota",28588
"Mellette County","South Dakota",2089
"Miner County","South Dakota",2202
"Minnehaha County","South Dakota",196659
"Moody County","South Dakota",6525
"Oglala Lakota County","South Dakota",14070
"Pennington County","South Dakota",115926
"Perkins County","South Dakota",2832
"Potter County","South Dakota",2163
"Roberts County","South Dakota",10331
"Sanborn County","South Dakota",2322
"Spink County","South Dakota",6319
"Stanley County","South Dakota",3121
"Sully County","South Dakota",1391
"Todd County","South Dakota",10313
"Tripp County","South Dakota",5377
"Turner County","South Dakota",8368
"Union County","South Dakota",16192
"Walworth County","South Dakota",5336
"Yankton County","South Dakota",22742
"Ziebach County","South Dakota",2656
"Anderson County","Tennessee",77558
"Bedford County","Tennessee",50179
"Benton County","Tennessee",16131
"Bledsoe County","Tennessee",15223
"Blount County","Tennessee",134751
"Bradley County","Tennessee",109071
"Campbell County","Tennessee",39837
"Cannon County","Tennessee",14847
"Carroll County","Tennessee",27779
"Carter County","Tennessee",56418
"Cheatham County","Tennessee",41101
"Chester County","Tennessee",17432
"Claiborne County","Tennessee",32023
"Clay County","Tennessee",7629
"Cocke County","Tennessee",36225
"Coffee County","Tennessee",57632
"Crockett County","Tennessee",14180
"Cumberland County","Tennessee",61603
"Davidson County","Tennessee",694176
"Decatur County","Tennessee",11601
"DeKalb County","Tennessee",20837
"Dickson County","Tennessee",54376
"Dyer County","Tennessee",36693
"Fayette County","Tennessee",41620
"Fentress County","Tennessee",18787
"Franklin County","Tennessee",42485
"Gibson County","Tennessee",49159
"Giles County","Tennessee",29530
"Grainger County","Tennessee",23565
"Greene County","Tennessee",69571
"Grundy County","Tennessee",13485
"Hamblen County","Tennessee",65110
"Hamilton County","Tennessee",371662
"Hancock County","Tennessee",6493
"Hardeman County","Tennessee",24836
"Hardin County","Tennessee",25583
"Hawkins County","Tennessee",56775
"Haywood County","Tennessee",17002
"Henderson County","Tennessee",28076
"Henry County","Tennessee",32056
"Hickman County","Tennessee",25387
"Houston County","Tennessee",8292
"Humphreys County","Tennessee",18590
"Jackson County","Tennessee",11864
"Jefferson County","Tennessee",55307
"Johnson County","Tennessee",17849
"Knox County","Tennessee",475609
"Lake County","Tennessee",6988
"Lauderdale County","Tennessee",25451
"Lawrence County","Tennessee",44432
"Lewis County","Tennessee",12363
"Lincoln County","Tennessee",34540
"Loudon County","Tennessee",54910
"McMinn County","Tennessee",54208
"McNairy County","Tennessee",25696
"Macon County","Tennessee",24827
"Madison County","Tennessee",98360
"Marion County","Tennessee",28924
"Marshall County","Tennessee",35016
"Maury County","Tennessee",99590
"Meigs County","Tennessee",12532
"Monroe County","Tennessee",47177
"Montgomery County","Tennessee",214251
"Moore County","Tennessee",6438
"Morgan County","Tennessee",21431
"Obion County","Tennessee",30131
"Overton County","Tennessee",22566
"Perry County","Tennessee",8099
"Pickett County","Tennessee",5061
"Polk County","Tennessee",16835
"Putnam County","Tennessee",80929
"Rhea County","Tennessee",33443
"Roane County","Tennessee",53841
"Robertson County","Tennessee",72275
"Rutherford County","Tennessee",339261
"Scott County","Tennessee",22090
"Sequatchie County","Tennessee",15176
"Sevier County","Tennessee",99244
"Shelby County","Tennessee",936017
"Smith County","Tennessee",20285
"Stewart County","Tennessee",13859
"Sullivan County","Tennessee",158755
"Sumner County","Tennessee",195561
"Tipton County","Tennessee",61918
"Trousdale County","Tennessee",11455
"Unicoi County","Tennessee",17755
"Union County","Tennessee",20187
"Van Buren County","Tennessee",5947
"Warren County","Tennessee",41605
"Washington County","Tennessee",130367
"Wayne County","Tennessee",16524
"Weakley County","Tennessee",33334
"White County","Tennessee",27707
"Williamson County","Tennessee",245348
"Wilson County","Tennessee",148130
"Anderson County","Texas",57805
"Andrews County","Texas",18879
"Angelina County","Texas",86796
"Aransas County","Texas",23814
"Archer County","Texas",8730
"Armstrong County","Texas",1869
"Atascosa County","Texas",51724
"Austin County","Texas",29972
"Bailey County","Texas",6697
"Bandera County","Texas",23861
"Bastrop County","Texas",91601
"Baylor County","Texas",3518
"Bee County","Texas",32513
"Bell County","Texas",369927
"Bexar County","Texas",2026823
"Blanco County","Texas",12269
"Borden County","Texas",706
"Bosque County","Texas",18603
"Bowie County","Texas",93481
"Brazoria County","Texas",380518
"Brazos County","Texas",232555
"Brewster County","Texas",9237
"Briscoe County","Texas",1487
"Brooks County","Texas",6964
"Brown County","Texas",37633
"Burleson County","Texas",18514
"Burnet County","Texas",49653
"Caldwell County","Texas",43979
"Calhoun County","Texas",21001
"Callahan County","Texas",14110
"Cameron County","Texas",424180
"Camp County","Texas",13060
"Carson County","Texas",5854
"Cass County","Texas",29879
"Castro County","Texas",7396
"Chambers County","Texas",45590
"Cherokee County","Texas",52875
"Childress County","Texas",7143
"Clay County","Texas",10550
"Cochran County","Texas",2897
"Coke County","Texas",3323
"Coleman County","Texas",8100
"Collin County","Texas",1072069
"Collingsworth County","Texas",2877
"Colorado County","Texas",21610
"Comal County","Texas",164812
"Comanche County","Texas",13750
"Concho County","Texas",2827
"Cooke County","Texas",41393
"Coryell County","Texas",76737
"Cottle County","Texas",1363
"Crane County","Texas",4765
"Crockett County","Texas",3513
"Crosby County","Texas",5567
"Culberson County","Texas",2149
"Dallam County","Texas",7273
"Dallas County","Texas",2635888
"Dawson County","Texas",12974
"Deaf Smith County","Texas",18277
"Delta County","Texas",5349
"Denton County","Texas",919324
"DeWitt County","Texas",20174
"Dickens County","Texas",2140
"Dimmit County","Texas",9925
"Donley County","Texas",3308
"Duval County","Texas",11058
"Eastland County","Texas",18388
"Ector County","Texas",167701
"Edwards County","Texas",1923
"Ellis County","Texas",191760
"El Paso County","Texas",841286
"Erath County","Texas",43224
"Falls County","Texas",17275
"Fannin County","Texas",35913
"Fayette County","Texas",25547
"Fisher County","Texas",3784
"Floyd County","Texas",5672
"Foard County","Texas",1135
"Fort Bend County","Texas",839706
"Franklin County","Texas",10821
"Freestone County","Texas",19874
"Frio County","Texas",20379
"Gaines County","Texas",21996
"Galveston County","Texas",345089
"Garza County","Texas",6222
"Gillespie County","Texas",26960
"Glasscock County","Texas",1439
"Goliad County","Texas",7626
"Gonzales County","Texas",20948
"Gray County","Texas",21658
"Grayson County","Texas",138318
"Gregg County","Texas",124229
"Grimes County","Texas",29614
"Guadalupe County","Texas",170608
"Hale County","Texas",32754
"Hall County","Texas",2939
"Hamilton County","Texas",8557
"Hansford County","Texas",5279
"Hardeman County","Texas",4011
"Hardin County","Texas",58305
"Harris County","Texas",4738253
"Harrison County","Texas",66386
"Hartley County","Texas",5443
"Haskell County","Texas",5754
"Hays County","Texas",241365
"Hemphill County","Texas",3777
"Henderson County","Texas",83792
"Hidalgo County","Texas",875200
"Hill County","Texas",37006
"Hockley County","Texas",22921
"Hood County","Texas",63527
"Hopkins County","Texas",37170
"Houston County","Texas",22835
"Howard County","Texas",36540
"Hudspeth County","Texas",4906
"Hunt County","Texas",99807
"Hutchinson County","Texas",20677
"Irion County","Texas",1564
"Jack County","Texas",9056
"Jackson County","Texas",14854
"Jasper County","Texas",35375
"Jeff Davis County","Texas",2220
"Jefferson County","Texas",250127
"Jim Hogg County","Texas",5184
"Jim Wells County","Texas",40452
"Johnson County","Texas",179575
"Jones County","Texas",19875
"Karnes County","Texas",15562
"Kaufman County","Texas",143198
"Kendall County","Texas",48523
"Kenedy County","Texas",379
"Kent County","Texas",786
"Kerr County","Texas",52869
"Kimble County","Texas",4396
"King County","Texas",283
"Kinney County","Texas",3670
"Kleberg County","Texas",30338
"Knox County","Texas",3683
"Lamar County","Texas",49905
"Lamb County","Texas",12710
"Lampasas County","Texas",21789
"La Salle County","Texas",7500
"Lavaca County","Texas",20216
"Lee County","Texas",17397
"Leon County","Texas",17493
"Liberty County","Texas",91547
"Limestone County","Texas",23340
"Lipscomb County","Texas",3111
"Live Oak County","Texas",12324
"Llano County","Texas",21958
"Loving County","Texas",181
"Lubbock County","Texas",314772
"Lynn County","Texas",6025
"McCulloch County","Texas",7823
"McLennan County","Texas",259730
"McMullen County","Texas",721
"Madison County","Texas",14427
"Marion County","Texas",9960
"Martin County","Texas",5816
"Mason County","Texas",4344
"Matagorda County","Texas",36725
"Maverick County","Texas",58378
"Medina County","Texas",52358
"Menard County","Texas",2124
"Midland County","Texas",177863
"Milam County","Texas",24708
"Mills County","Texas",4840
"Mitchell County","Texas",8202
"Montague County","Texas",19962
"Montgomery County","Texas",626351
"Moore County","Texas",20654
"Morris County","Texas",12393
"Motley County","Texas",1185
"Nacogdoches County","Texas",64753
"Navarro County","Texas",50694
"Newton County","Texas",13414
"Nolan County","Texas",14835
"Nueces County","Texas",363148
"Ochiltree County","Texas",9598
"Oldham County","Texas",2135
"Orange County","Texas",82878
"Palo Pinto County","Texas",29320
"Panola County","Texas",23187
"Parker County","Texas",148198
"Parmer County","Texas",9522
"Pecos County","Texas",15718
"Polk County","Texas",52995
"Potter County","Texas",116004
"Presidio County","Texas",6508
"Rains County","Texas",12552
"Randall County","Texas",139899
"Reagan County","Texas",3833
"Real County","Texas",3411
"Red River County","Texas",11995
"Reeves County","Texas",15949
"Refugio County","Texas",6877
"Roberts County","Texas",813
"Robertson County","Texas",17155
"Rockwall County","Texas",109888
"Runnels County","Texas",10401
"Rusk County","Texas",54324
"Sabine County","Texas",10507
"San Augustine County","Texas",8248
"San Jacinto County","Texas",29301
"San Patricio County","Texas",67069
"San Saba County","Texas",6039
"Schleicher County","Texas",2761
"Scurry County","Texas",16662
"Shackelford County","Texas",3300
"Shelby County","Texas",24915
"Sherman County","Texas",3027
"Smith County","Texas",235806
"Somervell County","Texas",9139
"Starr County","Texas",64266
"Stephens County","Texas",9334
"Sterling County","Texas",1315
"Stonewall County","Texas",1348
"Sutton County","Texas",3738
"Swisher County","Texas",7340
"Tarrant County","Texas",2123347
"Taylor County","Texas",139200
"Terrell County","Texas",702
"Terry County","Texas",12183
"Throckmorton County","Texas",1487
"Titus County","Texas",32926
"Tom Green County","Texas",120010
"Travis County","Texas",1300503
"Trinity County","Texas",14883
"Tyler County","Texas",21591
"Upshur County","Texas",42166
"Upton County","Texas",3623
"Uvalde County","Texas",26742
"Val Verde County","Texas",49028
"Van Zandt County","Texas",57533
"Victoria County","Texas",91936
"Walker County","Texas",72164
"Waller County","Texas",57452
"Ward County","Texas",12097
"Washington County","Texas",35771
"Webb County","Texas",277681
"Wharton County","Texas",41685
"Wheeler County","Texas",4946
"Wichita County","Texas",133205
"Wilbarger County","Texas",12552
"Willacy County","Texas",21161
"Williamson County","Texas",617855
"Wilson County","Texas",52023
"Winkler County","Texas",7887
"Wise County","Texas",71084
"Wood County","Texas",46291
"Yoakum County","Texas",8702
"Young County","Texas",17904
"Zapata County","Texas",14172
"Zavala County","Texas",11840
"Beaver County","Utah",6761
"Box Elder County","Utah",57007
"Cache County","Utah",130004
"Carbon County","Utah",20760
"Daggett County","Utah",1026
"Davis County","Utah",359232
"Duchesne County","Utah",19894
"Emery County","Utah",10147
"Garfield County","Utah",5050
"Grand County","Utah",9796
"Iron County","Utah",56814
"Juab County","Utah",12122
"Kane County","Utah",7914
"Millard County","Utah",13327
"Morgan County","Utah",12462
"Piute County","Utah",1473
"Rich County","Utah",2452
"Salt Lake County","Utah",1165517
"San Juan County","Utah",15278
"Sanpete County","Utah",31393
"Sevier County","Utah",21780
"Summit County","Utah",42499
"Tooele County","Utah",74512
"Uintah County","Utah",35970
"Utah County","Utah",651059
"Wasatch County","Utah",35300
"Washington County","Utah",184913
"Wayne County","Utah",2759
"Weber County","Utah",262658
"Addison County","Vermont",36851
"Bennington County","Vermont",35338
"Caledonia County","Vermont",29705
"Chittenden County","Vermont",164306
"Essex County","Vermont",6123
"Franklin County","Vermont",49685
"Grand Isle County","Vermont",7169
"Lamoille County","Vermont",25341
"Orange County","Vermont",28837
"Orleans County","Vermont",26897
"Rutland County","Vermont",57764
"Washington County","Vermont",58328
"Windham County","Vermont",42015
"Windsor County","Vermont",54988
"Accomack County","Virginia",32238
"Albemarle County","Virginia",110652
"Alleghany County","Virginia",14701
"Amelia County","Virginia",13014
"Amherst County","Virginia",31667
"Appomattox County","Virginia",16043
"Arlington County","Virginia",240119
"Augusta County","Virginia",76544
"Bath County","Virginia",4119
"Bedford County","Virginia",79811
"Bland County","Virginia",6239
"Botetourt County","Virginia",33633
"Brunswick County","Virginia",16037
"Buchanan County","Virginia",20613
"Buckingham County","Virginia",17168
"Campbell County","Virginia",55304
"Caroline County","Virginia",30860
"Carroll County","Virginia",30074
"Charles City County","Virginia",6821
"Charlotte County","Virginia",11820
"Chesterfield County","Virginia",358245
"Clarke County","Virginia",14622
"Craig County","Virginia",5077
"Culpeper County","Virginia",53569
"Cumberland County","Virginia",9933
"Dickenson County","Virginia",14078
"Dinwiddie County","Virginia",28688
"Essex County","Virginia",10943
"Fairfax County","Virginia",1150847
"Fauquier County","Virginia",71361
"Floyd County","Virginia",15777
"Fluvanna County","Virginia",27422
"Franklin County","Virginia",56167
"Frederick County","Virginia",91119
"Giles County","Virginia",16663
"Gloucester County","Virginia",37459
"Goochland County","Virginia",24431
"Grayson County","Virginia",15493
"Greene County","Virginia",20131
"Greensville County","Virginia",11280
"Halifax County","Virginia",33633
"Hanover County","Virginia",108262
"Henrico County","Virginia",333766
"Henry County","Virginia",50309
"Highland County","Virginia",2200
"Isle of Wight County","Virginia",37725
"James City County","Virginia",77612
"King and Queen County","Virginia",6942
"King George County","Virginia",27381
"King William County","Virginia",17641
"Lancaster County","Virginia",10618
"Lee County","Virginia",23238
"Loudoun County","Virginia",422784
"Louisa County","Virginia",38132
"Lunenburg County","Virginia",12267
"Madison County","Virginia",13312
"Mathews County","Virginia",8766
"Mecklenburg County","Virginia",30679
"Middlesex County","Virginia",10569
"Montgomery County","Virginia",98391
"Nelson County","Virginia",14755
"New Kent County","Virginia",23648
"Northampton County","Virginia",11673
"Northumberland County","Virginia",12069
"Nottoway County","Virginia",15160
"Orange County","Virginia",37695
"Page County","Virginia",23933
"Patrick County","Virginia",17493
"Pittsylvania County","Virginia",59850
"Powhatan County","Virginia",30148
"Prince Edward County","Virginia",23006
"Prince George County","Virginia",38686
"Prince William County","Virginia",475533
"Pulaski County","Virginia",33935
"Rappahannock County","Virginia",7260
"Richmond County","Virginia",9071
"Roanoke County","Virginia",94509
"Rockbridge County","Virginia",22757
"Rockingham County","Virginia",82346
"Russell County","Virginia",26647
"Scott County","Virginia",21629
"Shenandoah County","Virginia",43905
"Smyth County","Virginia",30090
"Southampton County","Virginia",17636
"Spotsylvania County","Virginia",138449
"Stafford County","Virginia",156748
"Surry County","Virginia",6385
"Sussex County","Virginia",10925
"Tazewell County","Virginia",40529
"Warren County","Virginia",40475
"Washington County","Virginia",53695
"Westmoreland County","Virginia",18149
"Wise County","Virginia",37206
"Wythe County","Virginia",28620
"York County","Virginia",69199
"Alexandria city","Virginia",158726
"Bristol city","Virginia",17329
"Buena Vista city","Virginia",6402
"Charlottesville city","Virginia",46950
"Chesapeake city","Virginia",247011
"Colonial Heights city","Virginia",17205
"Covington city","Virginia",5639
"Danville city","Virginia",39869
"Emporia city","Virginia",5257
"Fairfax city","Virginia",23429
"Falls Church city","Virginia",14631
"Franklin city","Virginia",7833
"Fredericksburg city","Virginia",29492
"Galax city","Virginia",6296
"Hampton city","Virginia",135464
"Harrisonburg city","Virginia",53204
"Hopewell city","Virginia",22375
"Lexington city","Virginia",7279
"Lynchburg city","Virginia",81561
"Manassas city","Virginia",40869
"Manassas Park city","Virginia",18004
"Martinsville city","Virginia",12355
"Newport News city","Virginia",179062
"Norfolk city","Virginia",242803
"Norton city","Virginia",3985
"Petersburg city","Virginia",30446
"Poquoson city","Virginia",12257
"Portsmouth city","Virginia",95094
"Radford city","Virginia",18255
"Richmond city","Virginia",232226
"Roanoke city","Virginia",99058
"Salem city","Virginia",25340
"Staunton city","Virginia",25190
"Suffolk city","Virginia",93913
"Virginia Beach city","Virginia",451231
"Waynesboro city","Virginia",22741
"Williamsburg city","Virginia",15259
"Winchester city","Virginia",27700
"Adams County","Washington",20027
"Asotin County","Washington",22820
"Benton County","Washington",206426
"Chelan County","Washington",77574
"Clallam County","Washington",78067
"Clark County","Washington",496865
"Columbia County","Washington",4048
"Cowlitz County","Washington",111371
"Douglas County","Washington",43560
"Ferry County","Washington",7759
"Franklin County","Washington",97075
"Garfield County","Washington",2290
"Grant County","Washington",99377
"Grays Harbor County","Washington",75950
"Island County","Washington",86014
"Jefferson County","Washington",32700
"King County","Washington",2274315
"Kitsap County","Washington",272787
"Kittitas County","Washington",49204
"Klickitat County","Washington",22697
"Lewis County","Washington",82109
"Lincoln County","Washington",11090
"Mason County","Washington",68224
"Okanogan County","Washington",42620
"Pacific County","Washington",22984
"Pend Oreille County","Washington",14144
"Pierce County","Washington",913890
"San Juan County","Washington",17492
"Skagit County","Washington",130789
"Skamania County","Washington",12107
"Snohomish County","Washington",830393
"Spokane County","Washington",528225
"Stevens County","Washington",46360
"Thurston County","Washington",294074
"Wahkiakum County","Washington",4498
"Walla Walla County","Washington",61292
"Whatcom County","Washington",231016
"Whitman County","Washington",49500
"Yakima County","Washington",251879
"Barbour County","West Virginia",16444
"Berkeley County","West Virginia",122125
"Boone County","West Virginia",21055
"Braxton County","West Virginia",13702
"Brooke County","West Virginia",21674
"Cabell County","West Virginia",91589
"Calhoun County","West Virginia",6945
"Clay County","West Virginia",8341
"Doddridge County","West Virginia",8368
"Fayette County","West Virginia",42062
"Gilmer County","West Virginia",7811
"Grant County","West Virginia",11510
"Greenbrier County","West Virginia",34319
"Hampshire County","West Virginia",23190
"Hancock County","West Virginia",28571
"Hardy County","West Virginia",13633
"Harrison County","West Virginia",66870
"Jackson County","West Virginia",28453
"Jefferson County","West Virginia",57486
"Kanawha County","West Virginia",176253
"Lewis County","West Virginia",15805
"Lincoln County","West Virginia",20043
"Logan County","West Virginia",31688
"McDowell County","West Virginia",16916
"Marion County","West Virginia",55962
"Marshall County","West Virginia",30103
"Mason County","West Virginia",26335
"Mercer County","West Virginia",58258
"Mineral County","West Virginia",26722
"Mingo County","West Virginia",22951
"Monongalia County","West Virginia",106819
"Monroe County","West Virginia",13229
"Morgan County","West Virginia",17873
"Nicholas County","West Virginia",24340
"Ohio County","West Virginia",41182
"Pendleton County","West Virginia",6932
"Pleasants County","West Virginia",7438
"Pocahontas County","West Virginia",8190
"Preston County","West Virginia",33380
"Putnam County","West Virginia",56428
"Raleigh County","West Virginia",72920
"Randolph County","West Virginia",28387
"Ritchie County","West Virginia",9499
"Roane County","West Virginia",13482
"Summers County","West Virginia",12444
"Taylor County","West Virginia",16699
"Tucker County","West Virginia",6816
"Tyler County","West Virginia",8533
"Upshur County","West Virginia",24230
"Wayne County","West Virginia",39054
"Webster County","West Virginia",8058
"Wetzel County","West Virginia",14904
"Wirt County","West Virginia",5705
"Wood County","West Virginia",82938
"Wyoming County","West Virginia",20123
"Adams County","Wisconsin",20498
"Ashland County","Wisconsin",15415
"Barron County","Wisconsin",45090
"Bayfield County","Wisconsin",15242
"Brown County","Wisconsin",264610
"Buffalo County","Wisconsin",13033
"Burnett County","Wisconsin",15557
"Calumet County","Wisconsin",50209
"Chippewa County","Wisconsin",64737
"Clark County","Wisconsin",34720
"Columbia County","Wisconsin",57668
"Crawford County","Wisconsin",16021
"Dane County","Wisconsin",552536
"Dodge County","Wisconsin",87336
"Door County","Wisconsin",27889
"Douglas County","Wisconsin",43702
"Dunn County","Wisconsin",45452
"Eau Claire County","Wisconsin",105260
"Florence County","Wisconsin",4298
"Fond du Lac County","Wisconsin",102902
"Forest County","Wisconsin",8960
"Grant County","Wisconsin",51021
"Green County","Wisconsin",36603
"Green Lake County","Wisconsin",18908
"Iowa County","Wisconsin",23640
"Iron County","Wisconsin",5698
"Jackson County","Wisconsin",20630
"Jefferson County","Wisconsin",85038
"Juneau County","Wisconsin",26908
"Kenosha County","Wisconsin",169671
"Kewaunee County","Wisconsin",20386
"La Crosse County","Wisconsin",118502
"Lafayette County","Wisconsin",16646
"Langlade County","Wisconsin",19119
"Lincoln County","Wisconsin",27566
"Manitowoc County","Wisconsin",78757
"Marathon County","Wisconsin",135593
"Marinette County","Wisconsin",40262
"Marquette County","Wisconsin",15585
"Menominee County","Wisconsin",4546
"Milwaukee County","Wisconsin",945016
"Monroe County","Wisconsin",46582
"Oconto County","Wisconsin",38383
"Oneida County","Wisconsin",35751
"Outagamie County","Wisconsin",188766
"Ozaukee County","Wisconsin",90043
"Pepin County","Wisconsin",7271
"Pierce County","Wisconsin",42700
"Polk County","Wisconsin",43794
"Portage County","Wisconsin",71032
"Price County","Wisconsin",13245
"Racine County","Wisconsin",195802
"Richland County","Wisconsin",17258
"Rock County","Wisconsin",163084
"Rusk County","Wisconsin",14022
"St. Croix County","Wisconsin",91838
"Sauk County","Wisconsin",64449
"Sawyer County","Wisconsin",16700
"Shawano County","Wisconsin",40786
"Sheboygan County","Wisconsin",115240
"Taylor County","Wisconsin",20318
"Trempealeau County","Wisconsin",29681
"Vernon County","Wisconsin",30861
"Vilas County","Wisconsin",22356
"Walworth County","Wisconsin",103953
"Washburn County","Wisconsin",15712
"Washington County","Wisconsin",136445
"Waukesha County","Wisconsin",406172
"Waupaca County","Wisconsin",50664
"Waushara County","Wisconsin",24326
"Winnebago County","Wisconsin",171631
"Wood County","Wisconsin",72560
"Albany County","Wyoming",38950
"Big Horn County","Wyoming",11575
"Campbell County","Wyoming",46676
"Carbon County","Wyoming",14711
"Converse County","Wyoming",13804
"Crook County","Wyoming",7593
"Fremont County","Wyoming",39317
"Goshen County","Wyoming",13235
"Hot Springs County","Wyoming",4425
"Johnson County","Wyoming",8588
"Laramie County","Wyoming",100595
"Lincoln County","Wyoming",20253
"Natrona County","Wyoming",80815
"Niobrara County","Wyoming",2275
"Park County","Wyoming",29331
"Platte County","Wyoming",8578
"Sheridan County","Wyoming",30863
"Sublette County","Wyoming",9856
"Sweetwater County","Wyoming",42673
"Teton County","Wyoming",23497
"Uinta County","Wyoming",20215
"Washakie County","Wyoming",7760
"Weston County","Wyoming",6743
